Reference,Value,Footprint,MANUFACTURER,MPN,UNIT PRICE,VENDOR,Qty,TOTAL
AE301,Antenna_Shield,Connector_Coaxial:SMA_Amphenol_901-143_Horizontal,BAT WIRELESS,BWSMA-KWE-Z001,0.4407,LCSC,1,0.4407
"C101-C104, C203, C204, C206, C301",2u2,Capacitor_SMD:C_0402_1005Metric,Samsung Electro-Mechanics,CL05A225MP5NSNC,0.0038,LCSC,8,0.0304
"C105-C107, C201, C202, C205, C302",100n,Capacitor_SMD:C_0402_1005Metric,CCTC,TCC0402X7R104K160AT,0.0009,LCSC,7,0.0063
"D101, D102",WS2812B,LED_SMD:LED_WS2812B-2020_PLCC4_2.0x2.0mm,XINGLIGHT,XL-2020RGBC-WS2812B,0.0738,LCSC,2,0.1476
D201,LED_O,LED_SMD:LED_0402_1005Metric,XINGLIGHT,XL-1005UOC,0.01,LCSC,1,0.01
D202,LED_B,LED_SMD:LED_0402_1005Metric,XINGLIGHT,XL-1005UBC,0.066,LCSC,1,0.066
FB101,220R@100MHz 1A,Inductor_SMD:L_0402_1005Metric,Sunlord,GZ0603D221TF,0.0046,LCSC,1,0.0046
J101,USB_A,Connector_USB:USB_A_CNCTech_1001-011-01101_Horizontal,SHOU HAN,AM 180°,0.0394,LCSC,1,0.0394
L201,10u,Inductor_SMD:L_0402_1005Metric,Samsung Electro-Mechanics,CL05A106MP5NUNC,0.0119,LCSC,1,0.0119
"R201, R202, R205",10K 0.1%,Resistor_SMD:R_0402_1005Metric,YAGEO,RT0402BRE0710KL,0.0212,LCSC,3,0.0636
"R203, R204",1K   0.1%,Resistor_SMD:R_0402_1005Metric,YAGEO,RT0402BRD071KL,0.0222,LCSC,2,0.0444
SW201,SW_RST,Button_Switch_SMD:SW_SPST_B3U-1000P,Omron Electronics,B3U-1000P,0.2648,LCSC,1,0.2648
SW202,SW_USER,Button_Switch_SMD:SW_SPST_B3U-1000P,Omron Electronics,B3U-1000P,0.2648,LCSC,1,0.2648
U101,TLV75533PDRV,Package_SON:WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,Texas Instruments,TLV75533PDRVR,0.2832,LCSC,1,0.2832
"U102, U201",USBLC6-2P6,Package_TO_SOT_SMD:SOT-666,TECH PUBLIC,USBLC6-2P6,0.1158,LCSC,2,0.2316
U202,STM32F042K6Ux,Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,STMicroelectronics,STM32F042K6U6TR,3.4348,LCSC,1,3.4348
U203,24LC1025,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,FMD(Fremont Micro Devices),FT24C1024A-TTR-T,0.5521,LCSC,1,0.5521
U301,Ai-Thinker-Ra-01,RF_Module:Ai-Thinker-Ra-01-LoRa,Ai-Thinker,Ra-01SC-I,3.5001,LCSC,1,3.5001
,,,,,,,,
,,,,,,,36,9.3963
